,calle,barrio,municipio,tipo_vivienda,titulo,habitaciones,metros_cuadrados,aseos,planta,descripcion,etiquetas,garaje,precio
79,Planta baja en venta en N/A,Centro Ciudad,Manises,Casa,"Planta baja en venta en N/A, -1, Centro Ciudad",,230.0,,,"JUNTO AYUNTAMIENTO. Centro junto ayuntamiento. frente ayuntamiento. ref. 40v_pb2. inmobiliaria Servival. planta baja esquinera a dos calles frente ayuntamiento,...Leer más",[],No,200000.0
80,Casa o chalet en venta en Santísimo Cristo de la Fe,Centro Ciudad,Manises,Casa,"Casa o chalet en venta en Santísimo Cristo de la Fe, Centro Ciudad",4.0,200.0,2.0,,"Esta espaciosa casa en venta se encuentra en la zona de Centre en Paterna. Con una superficie total de 200 m² y 170 m² de superficie útil, esta propiedad cuenta...Leer más","['Parking', 'Terraza']",No,376000.0
81,Piso en venta en,Centro Ciudad,Manises,Piso,Piso en venta en Centro Ciudad,2.0,122.0,2.0,,"✨ Características principales:
🏠 122 m² construidos, perfectamente distribuidos para tu comodidad
🛏️ 2 habitaciones amplias y luminosas
🛁 2 baños completos, ...Leer más","['Ascensor', 'Terraza']",No,260000.0
82,Casa o chalet en venta en Polígono,del Aeropuerto,Manises,Chalet,Casa o chalet en venta en Polígono del Aeropuerto,3.0,213.0,2.0,,"¡Descubre el hogar de tus sueños en una ubicación privilegiada! Este impresionante chalet independiente urbano, EL CHALET DA A DOS CALLES .  Situado en una parc...Leer más",['Piscina'],No,300000.0
83,Piso en venta en Calle MAESTRO ADOLFO SAEZ,Aldaia,Manises,Piso,"Piso en venta en Calle MAESTRO ADOLFO SAEZ, Aldaia",3.0,74.0,1.0,3ª Planta,"Vivienda situada en CALLE MAESTRO ADOLFO SAEZ, ALDAIA (VALENCIA) . VIVIENDA CON INCIDENCIAS: INMUEBLE SIN POSESIÓN.
¡¡¡OPORTUNIDAD PARA INVERSORES!!!

El estado...Leer más",['Balcón'],No,100000.0
84,Piso en venta en,Centro Ciudad,Manises,Piso,Piso en venta en Centro Ciudad,2.0,68.0,1.0,3ª Planta,"** OPTIMUS INMOBILIARIA te presenta este Piso para inversión ** 

** FENOMENAL Piso con mucho potencial para crear tu hogar, situado en la localidad de Paterna,...Leer más",['Balcón'],No,49000.0
85,Casa o chalet en venta en Calle SANT ROC,Aldaia,Manises,Chalet,"Casa o chalet en venta en Calle SANT ROC, Aldaia",3.0,304.0,3.0,,"Vivienda situada en CALLE SANT ROC, ALDAIA (VALENCIA) . VIVIENDA CON INCIDENCIAS: INMUEBLE SIN POSESIÓN.
¡¡¡OPORTUNIDAD PARA INVERSORES!!!

El estado y los impe...Leer más","['Parking', 'Terraza']",No,265000.0
86,Piso en venta en LA MERCE,Centro Ciudad,Manises,Piso,"Piso en venta en LA MERCE, Centro Ciudad",2.0,64.0,1.0,1ª Planta,"Vivienda situada en Calle LA MERCE 5, en PATERNA (VALENCIA). VIVIENDA CON INCIDENCIAS: INMUEBLE SIN POSESIÓN.

El estado de ocupado y/o los impedimentos para qu...Leer más",['Balcón'],No,51000.0
87,Piso en venta en PINS DELS,Parc Central,Manises,Piso,"Piso en venta en PINS DELS, Parc Central",3.0,105.0,2.0,2ª Planta,"Vivienda situada en Calle  Pins Dels,, en Paterna (Valencia).. VIVIENDA CON INCIDENCIAS: INMUEBLE SIN POSESIÓN. 

El estado de ocupado y/o los impedimentos para...Leer más",['Ascensor'],No,175000.0
88,Casa o chalet en venta en 361,La Cañada,Manises,Chalet,"Casa o chalet en venta en 361, La Cañada",4.0,402.0,3.0,,"Vivienda situada en Calle 361, en PATERNA (VALENCIA) . VIVIENDA CON INCIDENCIAS: INMUEBLE SIN POSESIÓN.

El estado de ocupado y/o los impedimentos para que el i...Leer más","['Parking', 'Terraza']",No,504000.0
89,Casa o chalet en venta en,Centro Ciudad,Manises,Casa,Casa o chalet en venta en Centro Ciudad,3.0,140.0,2.0,,"Venta de casa en Manises, zona casco antiguo,
Casa de tres plantas, 70 metros por planta. En la primera planta nos encontramos con una amplia cocina con isla ab...Leer más",[],No,325000.0
90,Casa adosada en venta en N/A,La Cañada,Manises,Casa adosada,"Casa adosada en venta en N/A, La Cañada",,371.0,,,"PATERNA (Valencia). SIN POSESIÓN (no se puede visitar ni hipotecar). 
c/ 361 (La Vallesa - La Cañada). Vivienda unifamiliar. 371 m2. 
PRODUCTO PARA PROFESIONALE...Leer más",[],No,504000.0
91,Piso en venta en Quart,de Poblet,Manises,Piso,Piso en venta en Quart de Poblet,,67.0,,4ª Planta,INVERSORES - CESIÓN DE REMATE. El inmueble se encuentra en la fase final de subasta en procedimiento judicial a falta de inscribir a nombre del nuevo adquirient...Leer más,[],No,69000.0
92,Piso en venta en Carrer Rodrigo Botet,El Mercado,Manises,Piso,"Piso en venta en Carrer Rodrigo Botet, 7, El Mercado",4.0,64.0,1.0,5ª Planta,"REF 5933 piso en Manises en zona El Mercado, es un 5º SIN ASCENSOR de 64 metros útiles, con 4 habitaciones y 1 baño, cocina independiente y salón comedor, con b...Leer más",['Balcón'],No,123000.0
93,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,6.0,550.0,4.0,,"Sobre una parcela de mas de 2200m2 encontramos esta magnifica propiedad que destaca por su buena ubicación, sus amplias estancias y parcela y su confort. Los 55...Leer más","['Parking', 'Terraza']",No,1290000.0
94,Piso en venta en,Centro Ciudad,Manises,Piso,Piso en venta en Centro Ciudad,3.0,100.0,2.0,,"¡Descubre tu nuevo hogar en este encantador piso de 100 m² construidos! Situado en un edificio con ascensor y orientación sur, este inmueble ofrece una distribu...Leer más",['Aire acondicionado'],No,177000.0
95,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,2.0,78.0,1.0,,"Agencia Mediterránea tiene el placer de presentaros esta encantadora casa construida en 1958, ubicada en la tranquila y privilegiada zona de La Cañada. La vivie...Leer más","['Terraza', 'Calefacción']",No,245000.0
96,Casa o chalet en venta en Riba-roja,de Túria,Manises,Chalet,Casa o chalet en venta en Riba-roja de Túria,4.0,202.0,3.0,,"ENTER PROPERTIES os presenta este chalet independiente en Riba-roja de Túria!

 Este impresionante chalet te espera para convertirse en el hogar ideal para ti y...Leer más","['Parking', 'Terraza']",No,340000.0
97,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,4.0,160.0,2.0,,"¡Bienvenidos a este bonito chalet en urbanización consolidada de La Cañada Paterna! 

Construido sobre una parcela de 515 m² con jardín y piscina.

El chalet ti...Leer más","['Parking', 'Terraza']",No,379000.0
98,Piso en venta en Polígono,del Aeropuerto,Manises,Piso,Piso en venta en Polígono del Aeropuerto,,85.0,1.0,,"Loft-Oficina en planta 1ª  con ascensor situada en el Polígono Industrial Aeropuerto del Municipio de Manises, Valencia. Cuenta con una superficie de 85  m² con...Leer más","['1 hab.', 'Ascensor', 'Terraza']",No,124000.0
99,Piso en venta en  MAJOR,Centro Ciudad,Manises,Piso,"Piso en venta en  MAJOR, Centro Ciudad",4.0,120.0,1.0,1ª Planta,"JTM Dreams les presenta esta fantástica propiedad situada en una primera planta sin ascensor, en el municipio de Manises, en la zona centro del municipio, junto...Leer más",['Terraza'],No,146000.0
100,Casa o chalet en venta en Polígono,del Aeropuerto,Manises,Chalet,Casa o chalet en venta en Polígono del Aeropuerto,3.0,88.0,1.0,,"Athika presenta. Finca rustica con vivienda urbana en la Urb. La Malla a tan solo 10 minutos de la población, muy buena comunicación y acceso, con servicio de a...Leer más","['Terraza', 'Calefacción']",No,495000.0
101,Piso en venta en,El Mercado,Manises,Piso,Piso en venta en El Mercado,3.0,64.0,1.0,5ª Planta,"¡Oportunidad en venta! Piso en el corazón de Manises en su plaza mas hermosa y familiar.
 Este luminoso piso ubicado en un 5to piso sin ascensor es ideal para q...Leer más",['Balcón'],No,114000.0
102,Planta baja en venta en Quart,de Poblet,Manises,Planta baja,Planta baja en venta en Quart de Poblet,2.0,90.0,,,"Vivienda en planta baja en edificio histórico en zona Ayuntamiento de Quart de Poblet.

El inmueble dispone de 90 m² construidos más una terraza de 10m2. La pla...Leer más","['Bajos', 'Terraza']",No,130000.0
103,Piso en venta en Carrer del Mestre Ramón Ramia Querol,Centro Ciudad,Manises,Piso,"Piso en venta en Carrer del Mestre Ramón Ramia Querol, Centro Ciudad",3.0,98.0,2.0,3ª Planta,"Piso de 3 habitaciones, dos cuartos de baño, salón y cocina. Piso exterior, con balcón. Plaza de garaje incluida en el precio. Finca de 2008.

Agente inmobili...Leer más",['Ascensor'],Sí,250000.0
104,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,5.0,586.0,5.0,,"Vivienda de espacios amplios distribuida en semi alturas, construida sobre una parcela esquinera de 850 metros. Accediendo a la casa, al fondo, encontramos el s...Leer más","['Parking', 'Terraza']",No,650000.0
105,Piso en venta en,El Mercado,Manises,Piso,Piso en venta en El Mercado,2.0,48.0,1.0,3ª Planta,"En venta con un buen inquilino, ideal para inversores. En el encantador municipio de Manises se encuentra disponible un acogedor piso en venta en un tercer p...Leer más",['Calefacción'],No,92000.0
106,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,5.0,452.0,3.0,,"En venta magnífico chalet independiente en la exclusiva urbanización La Cañada de Paterna. Construido en el año 2000, esta vivienda se encuentra distribuida en ...Leer más","['Parking', 'Terraza']",No,1040000.0
107,Casa adosada en venta en,La Cañada,Manises,Casa adosada,Casa adosada en venta en La Cañada,5.0,216.0,2.0,,"Vivienda adosada en La Cañada, ubicada en una de sus mejores zonas, El Plantío.

 El Plantío está considerada como una de las zonas más tranquilas de La Cañada....Leer más","['Parking', 'Terraza']",No,385000.0
108,Piso en venta en C/ Libertad,Santa Rita,Manises,Piso,"Piso en venta en C/ Libertad, Santa Rita",2.0,86.0,1.0,,"Piso de 89 m² en venta, de 2 dormitorios situado en la localidad de Paterna, provincia de Valencia. La vivienda está comunicada mediante la estación del tren a ...Leer más",[],No,74000.0
109,Casa o chalet en venta en Manises - Calle Riu Xuquer,Centro Ciudad,Manises,Casa,"Casa o chalet en venta en Manises - Calle Riu Xuquer, Centro Ciudad",4.0,260.0,3.0,,"VILLA DE LUJO CON MATERIALES DE ALTA GAMA. En planta baja consta de amplio salón con acceso a terraza y lavadero, cocina totalmente equipada, baño con plato de ...Leer más","['Terraza', 'Piscina']",No,410000.0
110,Piso en venta en C/ Federico García Lorca,Centro Ciudad,Manises,Piso,"Piso en venta en C/ Federico García Lorca, Grupo de La Merced, Centro Ciudad",2.0,54.0,1.0,,"Piso de 54 m² en venta situado en la localidad de Paterna, provincia de Valencia. Construida en 1958, esta vivienda dispone de una superficie de 54 m² y se dist...Leer más",['Ascensor'],No,57000.0
111,Planta baja en venta en,Centro Ciudad,Manises,Casa,Planta baja en venta en Centro Ciudad,2.0,80.0,1.0,,"***EXPERCASA PATERNA*** Les presenta en exclusiva este magnífico bajo completamente reformado a estrenar en Campamento. 
Este espectacular bajo cuenta con 80m2 ...Leer más","['Bajos', 'Parking']",No,159500.0
112,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,5.0,291.0,3.0,,"Sobre una parcela de algo mas de 500m2, encontramos este precioso unifamiliar que destaca por su luminosidad, sus buenas calidades y excelente ubicación. En la ...Leer más","['Parking', 'Terraza']",No,595000.0
113,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,5.0,297.0,2.0,,"Con una excelente ubicación y una  parcela privada esquinera presentamos esta propiedad.

Como construcción principal dos fabulosas plantas de aproximadamente...Leer más","['Parking', 'Terraza']",No,450000.0
114,Ático en venta,en Aldaia,Manises,Piso,Ático en venta en Aldaia,3.0,105.0,2.0,,"*** SENYERA INMOBILIARIA *** pone en exclusiva a la venta hermoso ÁTICO con reforma a estrenar en Aldaia.

Una obra maestra de inversión contemporánea en Aldaia...Leer más","['Entresuelo', 'Terraza']",No,249000.0
115,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,6.0,359.0,3.0,,"Sobre una parcela de más de 1.000m2 encontramos este unifamiliar con un encanto especial, que destaca por sus buenas calidades, su comodidad y buena ubicación. ...Leer más","['Parking', 'Terraza']",No,649000.0
116,Piso en venta en Quart,de Poblet,Manises,Piso,Piso en venta en Quart de Poblet,3.0,90.0,1.0,3ª Planta,"Piso en Venta en Quart de Poblet - con Plaza de Garaje Incluida!

¡Oportunidad única en Quart de Poblet! Este piso de 88 m², situado en una finca con ascensor, ...Leer más",['Ascensor'],Sí,185000.0
117,Piso en venta en C/ Cánovas del Castillo,Centro Ciudad,Manises,Piso,"Piso en venta en C/ Cánovas del Castillo, Centro Ciudad",4.0,102.0,2.0,,"Piso de segunda mano en venta situado en Manises (Valencia). Cuenta con una superficie de 102 m² distribuidos en 4 dormitorios, 2 baños, salón comedor, cocina, ...Leer más",['Ascensor'],No,134700.0
118,Piso en venta,en Aldaia,Manises,Piso,Piso en venta en Aldaia,4.0,100.0,1.0,,"Particulares venden piso muy luminoso en Calle Mayor de Aldaia. Dispone de ascensor, calefacción por gas natural en todas las estancias y dormitorios, y aire ac...Leer más","['Ascensor', 'Balcón']",No,142000.0
119,Casa o chalet en venta en,El Alborgí,Manises,Chalet,Casa o chalet en venta en El Alborgí,4.0,100.0,1.0,,"BAJO DE CASA en venta en Paterna en la zona de Alborgí. Con una superficie total de 100 m² y 76 m² útiles, esta vivienda cuenta con 4 habitaciones, 2 sencillas ...Leer más",['Terraza'],No,129000.0
120,Ático en venta,en Aldaia,Manises,Piso,Ático en venta en Aldaia,3.0,154.0,3.0,3ª Planta,"**** SENYERA INMOBILIARIA **** pone a la venta espectacular ático dúplex en Aldaia, justo en la frontera de Aldaia/Alaquás.

La vivienda cuenta con 3 habitacion...Leer más",['Ascensor'],No,264000.0
121,Piso en venta en Carrer de Ciudad Real,Parc Central,Manises,Piso,"Piso en venta en Carrer de Ciudad Real, 18, Parc Central",3.0,136.0,2.0,,"Piso totalmente reformado.  Cocina de 30m2, galería interior de 26m2, comedor con balcón de 4m2, 3 habitaciones,  trastero,  2 baños completos.  2 armarios empo...Leer más","['Terraza', 'Balcón']",No,180000.0
122,Piso en venta en Calle VICENT MORTES ALFONSO,Santa Rita,Manises,Piso,"Piso en venta en Calle VICENT MORTES ALFONSO, Santa Rita",3.0,90.0,1.0,1ª Planta,"¡Luminoso y espacioso piso en venta, acabando la reforma integral, con acabados de alta calidad, ubicado en la deseada y buscada zona de Parc Central, Paterna!
...Leer más",['Ascensor'],No,175000.0
123,Casa o chalet en venta en,El Alborgí,Manises,Chalet,Casa o chalet en venta en El Alborgí,2.0,132.0,1.0,,"Ponemos a su disposición esta encantadora casa de pueblo de una sola planta en el corazón de la zona de Alborgí , ideal para quienes buscan un hogar acogedor y ...Leer más",['Terraza'],No,250000.0
124,Casa o chalet en venta en VIRGEN SOLEDAD DE LA,Centro Ciudad,Manises,Casa,"Casa o chalet en venta en VIRGEN SOLEDAD DE LA, Centro Ciudad",4.0,210.0,2.0,,"Se vende casa en Manises, una joya en el corazón del casco antiguo. Esta vivienda de 210m ofrece una combinación perfecta de ambiente histórico y comodidades mo...Leer más","['Parking', 'Terraza']",No,295000.0
125,Casa o chalet en venta en Carrer 419,La Cañada,Manises,Chalet,"Casa o chalet en venta en Carrer 419, 2, La Cañada",5.0,220.0,4.0,,"UBICACIÓN APROXIMADA. De particular a particular (NO INMOBILIARIAS) Chalet unifamiliar con una gran parcela de 930 m2 y 220 m2 construidos 5 habitaciones, posib...Leer más","['Parking', 'Terraza']",No,479900.0
126,Piso en venta en Calle Valencia,El Carmen,Manises,Piso,"Piso en venta en Calle Valencia, 43, El Carmen",4.0,120.0,2.0,,"Preguntar por Sra Regina 
Telefeno de contacto 
frente parada metro...Leer más","['Ascensor', 'Balcón']",No,150000.0
127,Piso en venta,en Aldaia,Manises,Piso,Piso en venta en Aldaia,4.0,113.0,1.0,1ª Planta,"Este encantador piso en Aldaia es perfecto para familias o aquellos que buscan espacio y comodidad. Con un total de 4 dormitorios, hay suficiente espacio para t...Leer más",['Ascensor'],No,149990.0
128,Piso en venta en,Centro Ciudad,Manises,Piso,Piso en venta en Centro Ciudad,4.0,89.0,1.0,4ª Planta,"Estupendo piso en Paterna, zona de CAMPAMENTO - LA SALLE, a un paso del centro y junto a la estación del metro de Campamento, excelentemente comunicado y junto ...Leer más",['Balcón'],No,126000.0
129,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,4.0,333.0,4.0,,Este magnífico chalet independiente de 330 m² distribuidos en tres plantas reúne todas las comodidades para vivir con estilo y confort. Una de las característic...Leer más,"['Parking', 'Terraza']",No,790000.0
130,Casa o chalet en venta en Fumarell,Polígono del Aeropuerto,Manises,Chalet,"Casa o chalet en venta en Fumarell, Polígono del Aeropuerto",7.0,344.0,3.0,,"""Grupo Inmobiliario Selling House te propone una gran oportunidad ""

Magnífico chalet construido en el año 2000 con terreno urbano ubicado en Manises con sali...Leer más","['Terraza', 'Piscina']",No,350000.0
131,Casa o chalet en venta en Calle Mestre Ramon Ramia Querol,Centro Ciudad,Manises,Casa,"Casa o chalet en venta en Calle Mestre Ramon Ramia Querol, 76, Centro Ciudad",3.0,98.0,2.0,,"OPORTUNIDAD EN LA MEJOR ZONA DE PATERNA
Inmejorable vivienda en la mejor zona de paterna con unas vistas IMPRESIONANTES.
Vivienda de tres habitaciones estupen...Leer más",['Parking'],No,250000.0
132,Ático en venta,en Aldaia,Manises,Piso,Ático en venta en Aldaia,3.0,135.0,2.0,3ª Planta,"Os presentamos este precioso ático dúplex seminuevo  con garaje y trastero, hablamos de un ático dúplex que tiene toda la vivienda en una sola planta, excepto u...Leer más",['Ascensor'],Sí,228000.0
133,Casa o chalet en venta en 607,La Cañada,Manises,Chalet,"Casa o chalet en venta en 607, La Cañada",5.0,550.0,4.0,,"Bienvenidos a este impresionante chalet de lujo independiente, situado en una extensa parcela de 2400m² y con una superficie construida de 550m². Esta majestuos...Leer más","['Parking', 'Piscina']",No,1290000.0
134,Piso en venta,en Aldaia,Manises,Piso,Piso en venta en Aldaia,3.0,103.0,2.0,,"os presentamos esta vivienda semi-nueva ubicada en el barrio del Cristo en Aldaia, Valencia, es una opción ideal para quienes buscan comodidad y tranquilidad. A...Leer más","['Bajos', 'Ascensor']",No,170000.0
135,Piso en venta en,El Alborgí,Manises,Piso,Piso en venta en El Alborgí,4.0,285.0,2.0,2ª Planta,"Vivienda de estilo señorial con toque andaluz, ubicada en una finca exclusiva con solo un vecino.  

En la planta baja encontramos la plaza de garaje (posibilid...Leer más",['Terraza'],Sí,320000.0
136,Casa o chalet en venta en  DOCTOR MACHI,Centro Ciudad,Manises,Casa,"Casa o chalet en venta en  DOCTOR MACHI, Centro Ciudad",4.0,120.0,1.0,,"JTM Dreams les presenta esta fantástica villa situada en el barrio de Campament de la ciudad de Paterna, frente a la parada de Metro de Campament que comunica c...Leer más","['Parking', 'Terraza']",No,260000.0
137,Piso en venta en,Centro Ciudad,Manises,Piso,Piso en venta en Centro Ciudad,2.0,88.0,1.0,3ª Planta,"Ponemos a su disposición este luminoso piso ubicado en la tranquila zona de Cristo de la Fe en Paterna, es una excelente oportunidad para quienes buscan una viv...Leer más",['Ascensor'],No,144900.0
138,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,3.0,333.0,4.0,,"Sus grandes cristales y sus espacios abiertos y conectados hacen que esta maravilosa vivienda cumpla los requisitos para la vida moderna familiar.

Con espacios...Leer más","['Parking', 'Terraza']",No,790000.0
139,Piso en venta en Grupo de Belén,Parc Central,Manises,Piso,"Piso en venta en Grupo de Belén, 13, Parc Central",3.0,79.0,1.0,,"Inmobiliaria Inmobanco, les presenta esta vivienda situada en Paterna , en la calle Grupo de Belén.
Edificio del año 1973, la vivienda se encuentra en una segun...Leer más",['Balcón'],No,90000.0
140,Piso en venta en,Centro Ciudad,Manises,Piso,Piso en venta en Centro Ciudad,3.0,85.0,1.0,,"INCREIBLE VIVIENDA REFORMADA JUNTO AL PARQUE DE ALBORGI EN LA LOCALIDAD DE PATERNA.
Piso en planta baja sin ascensor, 85 mts, 3 habitaciones, 1 baño reformado,...Leer más",[],No,149000.0
141,Piso en venta en,Centro Ciudad,Manises,Piso,Piso en venta en Centro Ciudad,4.0,73.0,1.0,,"gran oportunidad junto al mercado los pinos de la localidad de manises.
vivienda en quinta altura, exterior y sin ascensor. 73 m², 4 habitaciones, 1 baño en ...Leer más",[],No,114000.0
142,Piso en venta en,Centro Ciudad,Manises,Piso,Piso en venta en Centro Ciudad,2.0,70.0,1.0,,"Piso en cuarta altura sin ascensor, 70 mts, 2 habitaciones, 1 baño en buen estado con ducha, cocina en buen estado, exterior, suelo gres, A/A
ref:v10166
molma...Leer más",[],No,120000.0
143,Dúplex en venta en Polígono,del Aeropuerto,Manises,Piso,Dúplex en venta en Polígono del Aeropuerto,,100.0,2.0,2ª Planta,"¡No dejes pasar la oportunidad de vivir o invertir en este maravilloso dúplex en Manises! 

Descubre este espectacular dúplex de 100 m²de superficie según cat...Leer más","['1 hab.', 'Ascensor']",No,197000.0
144,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,4.0,219.0,4.0,,"Diseño que acapara todas las miradas, construido con cristales de gran altura, con 4'20m permite la luz natural y la amplitud. La zona de día totalmente diáfana...Leer más","['Parking', 'Terraza']",No,880000.0
145,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,6.0,318.0,3.0,,"Unifamiliar con excelentes calidades, cuidada hasta el último detalle distribuida en dos plantas y un semisótano que nos sorprende increiblemente por estar ubic...Leer más","['Parking', 'Terraza']",No,599000.0
146,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,3.0,160.0,2.0,,"Nov Real Estate presenta este chalet independiente en la mejor zona de La Cañada, con una parcela de 515 m² que te ofrece la tranquilidad y el contacto con la n...Leer más","['Parking', 'Piscina']",No,379000.0
147,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,5.0,179.0,2.0,,"Este impresionante chalet se sitúa en una amplia parcela de 930 m² en el corazón de La Cañada, ofreciendo un espacio ideal para disfrutar de la vida en familia ...Leer más","['Parking', 'Terraza']",No,479900.0
148,Piso en venta en,Centro Ciudad,Manises,Piso,Piso en venta en Centro Ciudad,3.0,93.0,1.0,3ª Planta,"Ponemos a su disposición  en el corazón de la consolidada y demandada zona de Campamento, en Paterna,  este encantador piso que combina comodidad, luminosidad y...Leer más",['Balcón'],No,130000.0
149,Piso en venta en Carrer de Blai Vila,Santa Rita,Manises,Piso,"Piso en venta en Carrer de Blai Vila, Santa Rita",,70.0,1.0,3ª Planta,"REF: PAT-11

Tecnocasa Nou Moles vende en Exclusiva este increible atico de 70 m2 en magnifica estado de conservacion. 
Este esta ubicado en paterna, con una ub...Leer más","['1 hab.', 'Ascensor']",No,197000.0
150,Piso en venta en Calle Oeste,El Mercado,Manises,Piso,"Piso en venta en Calle Oeste, El Mercado",3.0,85.0,1.0,,"PISOS del LEVANTE dispone en exclusiva de este piso en Manises a 1 minuto del Metro Las Rosas y a 1 km del Aeropuerto de Manises.

Los 85 m2 construidos se dist...Leer más","['Bajos', 'Ascensor']",No,129900.0
151,Piso en venta en Avenida Vicente Blasco Ibáñez,Aldaia,Manises,Piso,"Piso en venta en Avenida Vicente Blasco Ibáñez, Aldaia",3.0,111.0,2.0,,(Particular sin intermediarios  precio negociable. No interesados en inmobiliarias) Se vende piso en Aldaia cerca del auditorio Tama. El piso está muy bien orie...Leer más,"['Ascensor', 'Balcón']",No,200000.0
152,Estudio en venta en Carrer de Catarroja,Polígono del Aeropuerto,Manises,Estudio,"Estudio en venta en Carrer de Catarroja, Polígono del Aeropuerto",,310.0,2.0,3ª Planta,"LOFT OFICINA EN VENTA MUY LUMINOSA Y EXCLUSIVA, DIÁFANA, REFORMADA EN AÑO 2018, CON BUENA COMUNICACIÓN CON EL AEROPUERTO Y A-7, SITUADO EN EL POLIGONO AEROPUERT...Leer más","['Ascensor', 'Parking']",No,185000.0
153,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,4.0,242.0,3.0,,"Esta es una oportunidad excepcional para vivir en una casa espectacular rodeada de naturaleza y tranquilidad. 

Esta propiedad independiente, con una parcela de...Leer más","['Parking', 'Terraza']",No,510000.0
154,Piso en venta en Calle José Casanova,El Mercado,Manises,Piso,"Piso en venta en Calle José Casanova, El Mercado",3.0,60.0,1.0,2ª Planta,"PISOS del LEVANTE dispone en exclusiva de este piso en Manises a 600 metros del Metro Las Rosas y a 1,4 km del Aeropuerto de Manises.

Los 60 m2 construidos se ...Leer más",['Balcón'],No,129900.0
155,Piso en venta en Avenida Villalba de Lugo,Quart de Poblet,Manises,Piso,"Piso en venta en Avenida Villalba de Lugo, Quart de Poblet",3.0,78.0,2.0,2ª Planta,"PISOS del LEVANTE dispone en exclusiva de este Piso con BALCON en la avenida Villalba de Lugo de Quart de Poblet.

Los 78 m2 construidos se distribuyen en:
- Sa...Leer más",['Ascensor'],No,169900.0
156,Casa o chalet en venta en 232,La Cañada,Manises,Chalet,"Casa o chalet en venta en 232, La Cañada",4.0,279.0,3.0,,"Chalet con 476 metros de parcela y 279 metros construidos, ubicado en la urbanización ""El plantío"" (Paterna), encontramos este espectacular chalet independiente...Leer más","['Parking', 'Terraza']",No,650000.0
157,Dúplex en venta en Avinguda Dos de Maig,Aldaia,Manises,Piso,"Dúplex en venta en Avinguda Dos de Maig, Aldaia",3.0,164.0,2.0,5ª Planta,"INMOBILIARIA LA AVENIDA TE TRAE ESTA HERMOSA PROPIEDAD

¡IMPRESIONANTE ÁTICO DÚPLEX TOTALMENTE REFORMADO EN ALDAIA, CON DOS AMPLIAS TERRAZAS Y UBICACIÓN PRIVILE...Leer más",['Ascensor'],No,330000.0
158,Dúplex en venta en Carrer de la Baixada del Riu,Centro Ciudad,Manises,Piso,"Dúplex en venta en Carrer de la Baixada del Riu, 22, Centro Ciudad",4.0,140.0,2.0,,"Particular vende Magnifico Duplex de 4 habitaciones y 2 baños a 10 minutos de Valencia y a 5 min del Aeropuerto, zona tranquila cerca del rio Turia y con colegi...Leer más",[],No,230000.0
159,Casa o chalet en venta en Calle 231,La Cañada,Manises,Chalet,"Casa o chalet en venta en Calle 231, La Cañada",4.0,160.0,3.0,,"Chalet en El Plantío (Paterna)

Ubicación: Este chalet se encuentra en la prestigiosa urbanización El Plantío, en Paterna, una zona residencial tranquila y de a...Leer más","['Parking', 'Piscina']",No,549000.0
160,Ático en venta en Calle MINGLANILLA,Aldaia,Manises,Piso,"Ático en venta en Calle MINGLANILLA, Aldaia",2.0,160.0,2.0,3ª Planta,"008MIN189. ÁTICO SEMINUEVO Y AMPLIO CON BONITA TERRAZA

Amplio y luminoso, cada rincón ha sido diseñado para ofrecer comodidad y estilo. La bonita terraza se co...Leer más",['Ascensor'],No,183500.0
161,Piso en venta en Carrer Quart,Aldaia,Manises,Piso,"Piso en venta en Carrer Quart, 7, Aldaia",3.0,106.0,1.0,,"se vende piso en Aldaia, bien ubicado, zona cinturón verde, totalmente reformado, cocina a estrenar, amplias habitaciones, cocina y baño a estrenar. NO INMOBILI...Leer más","['Balcón', 'Calefacción']",No,119000.0
